"labels","Time","Line","tsNs","id"
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:07.4671590Z [Information] 目標角標序號：100，unapplyTag執行完成"",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:07.4672490Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:07.467414573Z""}",1710756847467,"{""time"":""2024-03-18T10:14:07.467414573Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:07.4672490Z"",""_msg"":""2024-03-18T10:14:07.4671590Z [Information] 目標角標序號：100，unapplyTag執行完成"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756847467414573,1710756847467414573_988f1604
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:06.4700543Z [Information] 即將進行解綁作業..."",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:06.4700990Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:06.470150044Z""}",1710756846470,"{""time"":""2024-03-18T10:14:06.470150044Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:06.4700990Z"",""_msg"":""2024-03-18T10:14:06.4700543Z [Information] 即將進行解綁作業..."",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756846470150044,1710756846470150044_ca47b38a
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:06.3935201Z [Information] 目標角標序號：99，unapplyTag執行完成"",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:06.3936078Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:06.393763977Z""}",1710756846393,"{""time"":""2024-03-18T10:14:06.393763977Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:06.3936078Z"",""_msg"":""2024-03-18T10:14:06.3935201Z [Information] 目標角標序號：99，unapplyTag執行完成"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756846393763977,1710756846393763977_1dafc4f8
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:05.4694530Z [Information] 即將進行解綁作業..."",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:05.4695275Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:05.469577658Z""}",1710756845469,"{""time"":""2024-03-18T10:14:05.469577658Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:05.4695275Z"",""_msg"":""2024-03-18T10:14:05.4694530Z [Information] 即將進行解綁作業..."",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756845469577658,1710756845469577658_630b5958
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:05.4018237Z [Information] 目標角標序號：98，unapplyTag執行完成"",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:05.4019128Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:05.402081433Z""}",1710756845402,"{""time"":""2024-03-18T10:14:05.402081433Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:05.4019128Z"",""_msg"":""2024-03-18T10:14:05.4018237Z [Information] 目標角標序號：98，unapplyTag執行完成"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756845402081433,1710756845402081433_eeb2b634
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:04.5711651Z [Information] 即將進行解綁作業..."",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:04.5712806Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:04.571317535Z""}",1710756844571,"{""time"":""2024-03-18T10:14:04.571317535Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:04.5712806Z"",""_msg"":""2024-03-18T10:14:04.5711651Z [Information] 即將進行解綁作業..."",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756844571317535,1710756844571317535_3e4aeb26
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:04.4891795Z [Information] 目標角標序號：97，unapplyTag執行完成"",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:04.4892694Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:04.489443482Z""}",1710756844489,"{""time"":""2024-03-18T10:14:04.489443482Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:04.4892694Z"",""_msg"":""2024-03-18T10:14:04.4891795Z [Information] 目標角標序號：97，unapplyTag執行完成"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756844489443482,1710756844489443482_3ec9f114
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:03.5816507Z [Information] 即將進行解綁作業..."",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:03.5816861Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:03.581730301Z""}",1710756843581,"{""time"":""2024-03-18T10:14:03.581730301Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:03.5816861Z"",""_msg"":""2024-03-18T10:14:03.5816507Z [Information] 即將進行解綁作業..."",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756843581730301,1710756843581730301_b831c6d0
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:03.5091755Z [Information] 目標角標序號：96，unapplyTag執行完成"",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:03.5092660Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:03.509453304Z""}",1710756843509,"{""time"":""2024-03-18T10:14:03.509453304Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:03.5092660Z"",""_msg"":""2024-03-18T10:14:03.5091755Z [Information] 目標角標序號：96，unapplyTag執行完成"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756843509453304,1710756843509453304_82361390
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:02.5638304Z [Information] 即將進行解綁作業..."",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:02.5638770Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:02.563937784Z""}",1710756842563,"{""time"":""2024-03-18T10:14:02.563937784Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:02.5638770Z"",""_msg"":""2024-03-18T10:14:02.5638304Z [Information] 即將進行解綁作業..."",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756842563937784,1710756842563937784_f7e5c4aa
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:02.4890111Z [Information] 目標角標序號：95，unapplyTag執行完成"",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:02.4890991Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:02.489265348Z""}",1710756842489,"{""time"":""2024-03-18T10:14:02.489265348Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:02.4890991Z"",""_msg"":""2024-03-18T10:14:02.4890111Z [Information] 目標角標序號：95，unapplyTag執行完成"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756842489265348,1710756842489265348_5f7c6a74
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:01.4108869Z [Information] 即將進行解綁作業..."",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:01.4109159Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:01.410971455Z""}",1710756841410,"{""time"":""2024-03-18T10:14:01.410971455Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:01.4109159Z"",""_msg"":""2024-03-18T10:14:01.4108869Z [Information] 即將進行解綁作業..."",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756841410971455,1710756841410971455_5e1d1f0
"{""__tenant_id__"":""fake"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_lt"":""Common"",""_lvl"":""Information"",""_msg"":""2024-03-18T10:14:01.3015896Z [Information] 目標角標序號：94，unapplyTag執行完成"",""_props_CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_props_GroupName"":""commerce-nmqv3.group1"",""_props_JobName"":""ProductBadgeArchiveJob"",""_props_LogRootPath"":""D:\\logs\\nmq"",""_props_TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_ts"":""2024-03-18T10:14:01.3016874Z"",""container"":""commerce-nmqv3-console-nmqv3worker"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker"",""kube_namespace"":""my-qa-commerce-nmqv3"",""service"":""my-qa-commerce-nmqv3"",""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""stream"":""stdout"",""time"":""2024-03-18T10:14:01.301845821Z""}",1710756841301,"{""time"":""2024-03-18T10:14:01.301845821Z"",""stream"":""stdout"",""_ts"":""2024-03-18T10:14:01.3016874Z"",""_msg"":""2024-03-18T10:14:01.3015896Z [Information] 目標角標序號：94，unapplyTag執行完成"",""_lvl"":""Information"",""_srctx"":""NMQ.Core.Router.ProcessPool.WorkerProcessPool"",""_lt"":""Common"",""_hid"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""_props"":{""TaskId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""SourceId"":"""",""JobName"":""ProductBadgeArchiveJob"",""GroupName"":""commerce-nmqv3.group1"",""CorrelationId"":""2d15e4fe-dfcf-45cc-ac61-5f6a98e2f492"",""LogRootPath"":""D:\\logs\\nmq""},""source"":""commerce-nmqv3-console-nmqv3worker-59786bdfb-hxdpg"",""kube_namespace"":""my-qa-commerce-nmqv3"",""kube_container_name"":""commerce-nmqv3-console-nmqv3worker""}",1710756841301845821,1710756841301845821_b326c590
